"(116.51579392772565, 39.7832687247471)"
"(116.42879139912503, 39.831289522258366)"
"(116.1471411750266, 39.7975805668471)"
"(116.54263756032776, 39.747419801877086)"
"(116.54310705776624, 39.74673879881249)"
"(116.51313658100064, 39.790945465065676)"
"(116.44272417025309, 39.76133652300163)"
"(116.45309049421587, 39.86442083832668)"
"(116.5213167614522, 39.77589497985831)"
"(116.52681908411589, 39.77477354840643)"
"(116.60891938458455, 39.727001088474154)"
"(116.58081207393667, 39.71576339616353)"
"(116.49684194902757, 39.921816789777495)"
"(116.42232919220217, 39.917676232783975)"
"(116.29453115608891, 39.976155613342705)"
"(116.48281471832874, 39.956783422083134)"
"(116.36401500133559, 39.7958933245995)"
"(116.41211133690192, 39.80324223409929)"
"(116.41487168333944, 39.87752664703994)"
"(116.67431720379727, 39.890491700385454)"
"(116.6501267341637, 39.88949979724035)"
"(116.33471865116901, 39.744081994864096)"
"(116.43138762339049, 39.84529452480933)"
"(116.46182469411951, 40.013736550210744)"
"(116.3382098460661, 39.72895003098891)"
"(116.32786147417332, 39.70900836975976)"
"(116.28476871733685, 39.78380803145055)"
"(116.34398980857569, 39.70999664020427)"
"(116.31496724387591, 39.7347926990446)"
"(116.33743886172671, 39.81997299468963)"
"(116.41073803373465, 39.84104718238503)"
"(116.12490321235245, 39.95263371014593)"
"(116.41016582626983, 40.02877337615508)"
"(116.10924107329163, 39.95435023226998)"
"(116.21111451043951, 39.903985643743496)"
"(116.18582020349069, 39.92999668396867)"
"(116.43950189735367, 39.959357405808234)"
"(116.41887251152222, 39.98514523325312)"
"(116.30849376396367, 39.92489192831611)"
"(116.41034563871258, 40.00707271641282)"
"(116.42311364632484, 39.970010633667485)"
"(116.62956540158551, 40.05679980659177)"
"(116.40373818508667, 39.74450659459944)"
"(116.40375956381264, 39.74416889803054)"
"(116.40978731277335, 39.68853278796479)"
"(116.4715796475492, 39.82704716785174)"
"(116.41947836908278, 39.72258414904909)"
"(116.40270568017493, 39.7089265786848)"
"(116.35218071861581, 39.952974476316825)"
"(116.44457028054279, 39.771884388100304)"
"(116.43877988413584, 39.86526696318686)"
"(116.38057689850461, 39.749284534132585)"
"(116.42772805043562, 39.77917849036132)"
"(116.42141626664252, 39.721834010946054)"
"(116.3936294431141, 39.80620394617404)"
"(116.42602516041603, 39.78860324727366)"
"(116.47585385932534, 39.97774744593229)"
"(116.33053803498814, 39.97545565858683)"
"(116.54048350381782, 39.91696725800655)"
"(116.5649106754539, 40.07133394212935)"
"(116.40496123908684, 40.02075534237659)"
"(116.62557446869326, 40.12742081766747)"
"(117.05936622455863, 40.12734522062222)"
"(117.06158329618287, 40.144872578278054)"
"(117.11221604904458, 40.12012292193469)"
"(117.16568239119997, 40.19060419327232)"
"(117.10251534780699, 40.15381639819104)"
"(116.99798444320146, 40.05380077099441)"
"(117.08113089897604, 40.09342225588396)"
"(117.05447793031165, 40.14501304373295)"
"(116.45214583528951, 39.83344138221206)"
"(116.35654482023355, 39.9646706855085)"
"(116.30083800017793, 39.90802435324032)"
"(116.03842060578737, 39.655552571992075)"
"(116.02931090181636, 39.663430591902184)"
"(115.97014652463227, 39.65537463295679)"
"(116.59889311390133, 39.89731901104434)"
"(116.41931240888292, 39.936160984791954)"
"(116.6362010204777, 40.20327289637417)"
"(116.66592061989434, 40.21429362445631)"
"(116.83949849077209, 40.37459581316702)"
"(116.8619439696611, 40.378144947017454)"
"(116.78121316489526, 40.34675206408733)"
"(116.61059016493411, 40.141834204045516)"
"(116.48767886471734, 39.912341191337525)"
"(116.3692555643334, 39.94377493251608)"
"(116.33066851132207, 39.99255924687991)"
"(116.78298647208507, 40.364914152368215)"
"(116.72474936315108, 40.32769793379461)"
"(116.36288386519246, 40.03206125189141)"
"(116.4393958878585, 39.857332419298146)"
"(116.36730580992807, 39.84912553678556)"
"(116.47579081384393, 40.009691311540394)"
"(116.75581908748133, 40.3369344493984)"
"(116.84231409767997, 40.38204587680176)"
"(116.86158921535974, 40.37453001076857)"
"(116.80338623341528, 40.48151925814804)"
"(116.83754842942774, 40.412098498122305)"
"(116.82327985124515, 40.36804766789301)"
"(116.80201942417997, 40.38607834402613)"
"(116.76794579479636, 40.40589644310343)"
"(117.0432646156311, 40.492035246887205)"
"(117.02667834620476, 40.468465492095945)"
"(116.39633808046696, 39.822835375571)"
"(116.37688616942512, 39.83186017517133)"
"(116.43337835108088, 39.75816110606934)"
"(116.31940291173427, 39.89518195667799)"
"(116.52082174382994, 39.94012674689971)"
"(116.29288821008589, 40.170692900776544)"
"(116.2697665266927, 40.17035010091146)"
"(116.36324362860151, 40.032102953403246)"
"(116.2602730196796, 40.03330355756974)"
"(116.3185947054157, 40.166167249019296)"
"(116.29196130399801, 40.17174303846268)"
"(116.39353021713616, 40.17626385075998)"
"(116.30772639617919, 40.166206172790524)"
"(116.11606081049916, 39.910006422096416)"
"(116.10714080505294, 39.87980875945914)"
"(116.33666234960374, 39.55036541620383)"
"(116.31433368423974, 39.63105255664684)"
"(116.31957261630731, 39.66814731202808)"
"(116.45297029153092, 39.98875521642177)"
"(116.32257951512796, 39.84736690694538)"
"(116.40730331685066, 39.588318754291535)"
"(116.31913044086457, 39.56701126927376)"
"(116.31938122399114, 39.617344496586284)"
"(116.3694321154275, 39.89879428410249)"
"(116.33728673312308, 39.947443405588814)"
"(116.39764152694856, 39.90796467808667)"
"(116.59775404399294, 39.89788854877217)"
"(116.6373040913484, 39.888979096312596)"
"(116.60141504402637, 39.90731586867297)"
"(116.64871300722862, 39.92015679781848)"
"(116.44760385396118, 39.97755672587269)"
"(116.38003938541016, 39.92119187253746)"
"(116.54229698364679, 39.86832812774825)"
"(116.49536755486838, 39.91452977889354)"
"(116.39261281291246, 39.96446647914958)"
"(116.34911532250479, 39.929985060257266)"
"(116.32305759578448, 40.04878400827555)"
"(116.45753046352357, 39.90625662194323)"
"(115.64820999999999, 39.141622)"
"(116.35793204848648, 39.88865495412904)"
"(116.20290955592105, 40.26458645148026)"
"(116.21199463482523, 40.24747718423414)"
"(116.26532271516835, 40.07081282096128)"
"(116.26640520395023, 40.06766119412036)"
"(116.1646225, 40.1814921875)"
"(116.20729868561438, 40.213761899997664)"
"(116.28811745047747, 40.21908761533737)"
"(116.28429452885194, 40.20707407219257)"
"(116.40834523629758, 40.10244186096091)"
"(116.41632332229635, 40.12871881409636)"
"(116.2816414631464, 40.191550321439735)"
"(116.22001499141682, 40.20597298869998)"
"(116.18887375, 40.2440275)"
"(116.18659216368926, 40.19841004507403)"
"(116.24165755096914, 40.210171241754765)"
"(116.221175, 40.332800000000006)"
"(116.11672758871214, 39.88940011430081)"
"(116.14170824586517, 39.942069196542064)"
"(116.53752633448164, 39.939258906524515)"
"(116.46398377444444, 39.984413465241346)"
"(116.4287512025293, 39.93695453299337)"
"(116.47177436863282, 39.92871038652682)"
"(116.2697574863393, 40.00149470657238)"
"(116.56433734911727, 40.11513323904313)"
"(116.64121919412582, 40.32446563265637)"
"(116.63480599171419, 40.30627068457431)"
"(116.7592074641855, 40.103780413567755)"
"(116.56911967782943, 40.289847038540614)"
"(116.6359598424769, 40.32747688505269)"
"(116.40788226210549, 40.06472350997539)"
"(116.40662704961278, 40.04298969333642)"
"(116.66678787955226, 40.11669240051512)"
"(116.50036142133251, 39.86873345849834)"
"(116.51516827804525, 39.84701682330046)"
"(116.45224415029855, 39.953477487491426)"
"(115.6509, 39.20815)"
"(115.7355, 39.20922)"
"(116.01344375, 39.431882187499994)"
"(116.03925570312501, 39.57045343750001)"
"(116.10899201110635, 39.728295220521545)"
"(116.39928644203329, 40.005694619294545)"
"(116.95268048967634, 40.0760068094308)"
"(115.67107, 38.967796666666665)"
"(115.65305039253771, 39.02666505711139)"
"(115.65364, 39.00357)"
"(116.06438131349162, 39.672685507877944)"
"(116.57018796417779, 39.873541420221116)"
"(116.58758569907653, 39.83647663324519)"
"(116.55824701727909, 39.914238263585986)"
"(116.62542477484976, 39.90350068741308)"
"(116.36497948980374, 39.84877046196603)"
"(116.26941208255182, 39.928435228665265)"
"(116.09268492538436, 39.9559784661018)"
"(116.18268435425705, 39.90607155602861)"
"(116.05263854456659, 39.929630737484736)"
"(116.66200706077034, 39.9650525489037)"
"(116.42332785107082, 39.83589703376167)"
"(116.00562702271532, 40.358954244621046)"
"(116.50852281831925, 40.03220278788419)"
"(116.50846225852888, 40.011950284514725)"
"(116.98328854468596, 40.17976264043217)"
"(117.020794285135, 40.319207333572066)"
"(117.0278439365074, 40.23163277792826)"
"(116.30607758575677, 40.0244588264251)"
"(116.60996278902519, 40.11658914340483)"
"(116.37265906957991, 39.955697933493155)"
"(116.56366579725942, 40.06819332971041)"
"(116.74942001856152, 40.112087420343286)"
"(116.71145303222657, 39.527773417968746)"
"(116.69325515751012, 40.0051243844177)"
"(116.47182568534953, 39.88196220939476)"
"(116.3413999273375, 39.87359164738673)"
"(116.26260679611904, 40.008063765731066)"
"(116.37706643617256, 39.83174661400652)"
"(116.27964565096704, 39.924534090400925)"
"(116.1305011842415, 39.90713892812974)"
"(116.09917580121328, 39.925077628561624)"
"(116.32389242147758, 39.984218628756736)"
"(107.69865497346242, 26.34706767108281)"
"(116.28482699951778, 39.6193880019257)"
"(116.30861740126821, 39.85991804301107)"
"(116.26953578125, 39.610079921875)"
"(116.39732205209509, 39.46377115090817)"
"(116.2223725, 39.632175000000004)"
"(116.22512752151049, 40.042656420865896)"
"(116.89900774719237, 40.542942351989744)"
"(116.90830365523138, 40.57459911488219)"
"(116.85228020833333, 40.603779833333334)"
"(116.39403964493255, 39.83710186965808)"
"(116.40871405406492, 40.03044987907406)"
"(117.14555978656712, 40.161374938539666)"
"(117.12820169367563, 40.14758017079828)"
"(117.10614121050972, 40.09166397499975)"
"(117.0668469062677, 40.144916173439626)"
"(117.11049454280717, 40.11800795862624)"
"(117.08659089493975, 40.12348948108621)"
"(117.17684473391745, 40.125307442314124)"
"(117.1466871491977, 40.12957714645379)"
"(117.10641317316228, 40.13076845226709)"
"(116.35693252945549, 39.69509132768157)"
"(116.46704326538224, 39.87123411141218)"
"(116.66812802517083, 39.657280082327)"
"(116.69261661534853, 39.61248179306327)"
"(116.55846331984202, 39.69254009552019)"
"(116.59641909092238, 39.65201140979023)"
"(116.50639257126343, 39.679216130429346)"
"(116.46100673041778, 39.93167646498755)"
"(116.36204020839071, 39.98140037505631)"
"(116.63559942020214, 40.174881750959656)"
"(116.35454771786564, 40.086475410243274)"
"(116.44277199987454, 40.07912595210294)"
"(116.65586680701315, 40.172985925012725)"
"(116.61044068218362, 40.14163567418227)"
"(116.57431258961746, 40.144963094995575)"
"(116.52902108893892, 40.09654464324116)"
"(116.53461943771735, 40.111056181811165)"
"(116.56918060467206, 40.15011365396505)"
"(116.5494805184746, 40.15147321509521)"
"(116.67397336681314, 40.11472798382674)"
"(116.52063526991085, 40.02920964558436)"
"(116.29390477145188, 39.840266201745465)"
"(116.28122950115025, 40.01859696798638)"
"(116.37164501515564, 40.0037454699258)"
"(116.55110375085303, 40.32159838561269)"
"(116.45011289121456, 39.892540667008646)"
"(116.78968187500001, 39.920278749999994)"
"(116.22432907556143, 40.19517559518415)"
"(116.28184166346057, 40.23138451569656)"
"(116.28252280343193, 40.231385610351566)"
"(116.37475151370641, 40.062853759238926)"
"(116.21649436945852, 40.22260091240524)"
"(116.478370569712, 39.95661076140986)"
"(116.3110642651868, 40.00814531002784)"
"(116.75660153110363, 40.433140581073104)"
"(116.73789327524706, 40.43431074859936)"
"(116.40013167297954, 40.193607259748504)"
"(116.39927143753161, 40.238840115807115)"
"(116.41742513521008, 40.11616525793175)"
"(116.43067721965386, 39.88384373014536)"
"(116.34698915309828, 40.08666933373722)"
"(116.4066103992851, 40.10150320761494)"
"(116.35781061898035, 40.081483853346214)"
"(116.51809921885628, 40.09778304346942)"
"(116.43100136659072, 40.11418606543168)"
"(116.44178116236952, 39.909118443052435)"
"(116.43097107590057, 40.06700036143215)"
"(116.40152711293746, 40.15232172562118)"
"(116.61602771787858, 39.85729711772212)"
"(116.63913549811969, 39.926109017417005)"
"(116.35726352523089, 39.87588661175667)"
"(116.2390023844535, 39.971840444016735)"
"(116.16578073376834, 39.920370585271385)"
"(116.39765907431088, 40.033471277183466)"
"(116.35915050836982, 40.0592746265188)"
"(116.6584266402123, 40.1303671221592)"
"(116.33322292697605, 39.86416984945484)"
"(116.67977430576728, 40.115826291067705)"
"(116.66071419216475, 40.169455902187565)"
"(116.60774276990875, 40.17264969530764)"
"(116.49448781391999, 40.02265438607354)"
"(116.6279878787849, 40.13745458455457)"
"(116.54039031207301, 40.02462103195198)"
"(116.39683218679735, 39.906156342129435)"
"(116.6346220416247, 40.028526094501046)"
"(116.68318528602418, 39.969420803996705)"
"(116.67918304713561, 39.89064249733508)"
"(116.7109741184672, 39.91521193142759)"
"(116.61301191706731, 40.16465044508714)"
"(116.58151297538987, 40.10150421909786)"
"(116.40318020369995, 39.91255464220879)"
"(116.17573942392136, 40.04135498986915)"
"(116.54437365596846, 40.11589789409827)"
"(30.0342075, 2.61754)"
"(30.01683, 2.60017)"
"(118.01099666666668, 39.866369999999996)"
